year,temp,salmon_pop,wildfire_hectares_burned
1932,9.320277777777777,47676584.69596834,820.972940389986
1933,9.346666666666666,38791304.81594999,1304.5094644045853
1934,9.428055555555554,58379691.45713867,1380.8274016108012
1935,9.425277777777778,38637568.52798141,944.9598048140035
1936,9.515277777777776,59124279.201399274,1065.8890735681916
1937,9.427777777777777,54829619.080625534,2279.2168510705533
1938,9.720277777777776,39140137.55181203,1185.3722445194019
1939,9.879545454545456,53213323.51991913,1457.2464327504001
1940,10.063156565656564,20011937.942471735,1510.0459656263274
1941,10.214962121212123,44903258.74937901,1684.4356439390324
1942,10.109583333333333,21223470.43145743,938.7539659938341
1943,9.821805555555555,25861869.221162967,2650.3188893923743
1944,9.517222222222223,48412006.411263615,2329.8194311201587
1945,9.45138888888889,40704836.04722324,2254.573749213394
1946,9.528888888888888,32990088.63256208,2095.022586062411
1947,9.535277777777777,42583293.16301621,1642.775486810208
1948,9.535555555555556,46981786.41219421,1518.121218159456
1949,9.456111111111111,53719959.29198539,2737.3233097597345
1950,9.249444444444444,29032542.407470983,1354.3625740192879
1951,9.304166666666667,21203241.437597554,1122.592133834228
1952,9.375555555555556,32784238.003922213,1804.507404991366
1953,9.658055555555555,48837501.59372942,787.8480645879406
1954,9.624166666666667,30647309.55800241,1252.6511072487585
1955,9.47027777777778,43754462.648911014,221.05773434792695
1956,9.213333333333333,19753079.44825889,674.5129363111854
1957,9.253611111111113,43359043.90976705,2029.4778999774835
1958,9.730833333333335,22568334.210414395,1295.1329902263378
1959,10.034444444444444,32470923.04253087,844.4352852124364
1960,10.148333333333335,36382891.29219572,305.0670287183914
1961,10.025277777777779,52066704.3906143,2123.4099246053934
1962,9.998611111111112,27054789.411732864,2041.7406137666073
1963,10.102777777777776,20254545.90201135,1871.6850768359209
1964,9.994444444444445,24582391.64799519,2308.1217993473724
1965,9.917777777777777,44276323.60758165,2317.0200279659266
1966,9.823611111111111,35293296.69659351,1638.831316927768
1967,9.8875,38429748.338373795,2798.745972251576
1968,9.91611111111111,57491147.820901975,2445.0867080342814
1969,9.834166666666668,36978477.175886616,2764.8805884541216
1970,9.773055555555556,39851000.697277546,3362.751886180953
1971,9.678333333333333,47980074.93275101,2966.249893848489
1972,9.633055555555556,28095810.50624047,2205.1412305818067
1973,9.635833333333332,39780585.69032918,2097.7621900462395
1974,9.77888888888889,40399137.88811785,2239.694226822788
1975,9.876666666666667,24385924.564097594,1636.752503021569
1976,9.870555555555555,23089254.66349993,1741.6065947572683
1977,9.919444444444444,41516230.04711118,3320.532159218214
1978,10.080555555555556,30850830.097382993,1922.7700954104819
1979,10.232500000000002,30498960.501913223,3135.899709512095
1980,10.347222222222223,45338256.55007824,2528.4270557144223
1981,10.447222222222221,37110196.883314595,1923.673290116554
1982,10.62888888888889,45731133.59863274,2996.534179059863
1983,10.9525,27057852.65812803,3751.0718430128163
1984,10.9425,48327729.989652626,2962.0490503377
1985,10.736111111111109,37014643.41804687,3902.586933884525
1986,10.438333333333333,20444556.047252476,3580.991794610422
1987,10.535,42348841.2311243,4164.6978647699
1988,10.677222222222222,20251537.55622506,4872.0557927602285
1989,10.654444444444444,23470726.306291915,5343.606091386149
1990,10.797777777777776,34772169.373781465,4881.458176167413
1991,10.83611111111111,25131390.866781674,4783.122029090567
1992,11.068888888888887,34617792.23477193,5108.979593779051
1993,10.847222222222221,40531960.26852302,6033.530916075184
1994,11.02972222222222,10637285.541809179,6034.882930741821
1995,11.134166666666667,21970320.482826315,5809.593985853004
1996,11.25888888888889,33332069.07632786,5962.635739666779
1997,11.36888888888889,37473992.681246266,6913.263737688128
1998,11.54638888888889,23487601.379104257,7602.392348436516
1999,11.59527777777778,26132353.93619853,8480.636184679131
2000,11.482777777777779,5625094.203093834,7700.336692709239
2001,11.211666666666668,41075931.17117424,8269.36856043666
2002,11.225000000000001,36682144.555495486,8259.825927451551
2003,11.336388888888889,21631410.82764835,8653.631086577123
2004,11.46111111111111,41561044.07423589,9037.92588616428
2005,11.610555555555555,12001187.077481763,9131.281989321786
2006,11.624166666666667,25452780.794314656,9721.728999419922
2007,11.500833333333333,9826408.076536955,9193.436837219067
2008,11.261666666666665,39113427.41940163,9859.662502674224
2009,11.116388888888887,25234566.395684794,9021.57678350483
2010,11.21111111111111,6252985.820763394,9152.18953442601
2011,11.258333333333333,13115506.749623246,8882.259985832829
2012,11.189722222222223,30366873.429119516,9475.136132160122
2013,10.99222222222222,28618958.25749015,8012.635444812463
2014,11.109166666666667,17445122.64825268,8775.556851531699
2015,11.466388888888892,7635876.575110134,15000.0
2016,11.876666666666667,-2877191.209653288,9246.523955926032
2017,11.901666666666666,29895033.515823893,10469.495010682343
2018,11.761388888888888,27686887.793347422,18000.0
2019,11.67088888888889,10729913.509952534,8751.835014041204
2020,11.643111111111113,23234418.404883355,9394.400086552465
2021,11.462222222222223,14374756.398752138,21000.0
2022,11.208277777777779,16830753.42529789,9485.582865484332
2023,11.279666666666666,11031217.015361365,28400.0
2024,11.19,3957779.7763832025,9225.613676324898
